id,Name in English,Countries,Country codes,Degree of endangerment,Number of speakers
1353,Émérillon,French Guiana (France),GUF,Severely endangered,4000
1354,Gagauz (Maritime),Bulgaria;Romania,BGR;ROU,Severely endangered,4000
1355,Hijuk,Cameroon,CMR,Critically endangered,4000
1356,Hobyot,Oman;Yemen,OMN;YEM,Severely endangered,4000
1357,Inari Saami,Finland,FIN,Severely endangered,4000
1358,Istriot,Croatia,HRV,Severely endangered,4000
1359,Kalao,Indonesia,IDN,Definitely endangered,4000
1360,Kamaiurá,Brazil,BRA,Vulnerable,4000
1361,Kickapoo (Kansas),United States of America,USA,Severely endangered,4000
1362,Kickapoo (Oklahoma),United States of America,USA,Severely endangered,4000
1363,Kickapoo (Texas),United States of America,USA,Severely endangered,4000
1364,Kiowa,United States of America,USA,Severely endangered,4000
1365,Koroni,Indonesia,IDN,Definitely endangered,4000
1366,Lamongse,India,IND,Critically endangered,4000
1367,Ndunda,Nigeria,NGA,Severely endangered,4000
1368,Northern Paiute (Nevada),United States of America,USA,Definitely endangered,4000
1369,Pupeo,China,CHN,Definitely endangered,4000
1370,Rapa,French Polynesia (France),PYF,Severely endangered,4000
1371,Red Gelao (China),China,CHN,Critically endangered,4000
1372,Sengseng,Papua New Guinea,PNG,Vulnerable,4000
1373,Sirionó,Bolivia (Plurinational State of),BOL,Severely endangered,4000
1374,Talondo,Indonesia,IDN,Definitely endangered,4000
1375,Yaminahua (Bolivia;Peru),Bolivia (Plurinational State of);Peru,BOL;PER,Severely endangered,4000
1376,Sanema (Venezuela),Venezuela (Bolivarian Republic of),VEN,Vulnerable,3930
1377,Pirahã,Brazil,BRA,Vulnerable,3890
1378,Yerong,China,CHN,Severely endangered,3800
1379,A'ingae / Cofan (Colombia),Colombia,COL,Severely endangered,3790
1380,Halkomelem,Canada;United States of America,CAN;USA,Severely endangered,3750
1381,Yudja,Brazil,BRA,Vulnerable,3620
1382,Kisêdjê,Brazil,BRA,Vulnerable,3510
1383,Auye,Indonesia,IDN,Vulnerable,3500
1384,Awyi,Indonesia,IDN,Vulnerable,3500
1385,Bierebo,Vanuatu,VUT,Vulnerable,3500
1386,Fayu,Indonesia,IDN,Vulnerable,3500
1387,Labo,Vanuatu,VUT,Vulnerable,3500
1388,Myky,Brazil,BRA,Vulnerable,3500
1389,Nadëb,Brazil,BRA,Definitely endangered,3500
1390,Taje,Indonesia,IDN,Critically endangered,3500
1391,Tenharim,Brazil,BRA,Severely endangered,3500
1392,Mako,Venezuela (Bolivarian Republic of),VEN,Critically endangered,3450
1393,Barām,Nepal,NPL,Critically endangered,3420
1394,Ikpeng,Brazil,BRA,Vulnerable,3420
1395,Araweté,Brazil,BRA,Vulnerable,3390
1396,Northern Pame,Mexico,MEX,Definitely endangered,3370
1397,Thompson,Canada,CAN,Severely endangered,3350
1398,Serili,Indonesia,IDN,Vulnerable,3280
1399,Kaningara,Papua New Guinea,PNG,Vulnerable,3270
1400,Misantla Totonac,Mexico,MEX,Critically endangered,3250
1401,Nemi,New Caledonia (France),NCL,Definitely endangered,3250
1402,Nambiquara do Norte,Brazil,BRA,Vulnerable,3230
1403,Matís,Brazil,BRA,Vulnerable,3220
1404,Wauja,Brazil,BRA,Vulnerable,3210
1405,Benggoi,Indonesia,IDN,Definitely endangered,3200
1406,Karitiana,Brazil,BRA,Vulnerable,3200
1407,Apalai,Brazil,BRA,Vulnerable,3170
1408,Kwak'wala,Canada;United States of America,CAN;USA,Critically endangered,3150
1409,Tilung,Nepal,NPL,Definitely endangered,3100
1410,Opuuo,Ethiopia,ETH,Critically endangered,3070
1411,Panará,Brazil,BRA,Vulnerable,3060
1412,Aka,India,IND,Critically endangered,3000
1413,Bakole,Cameroon,CMR,Critically endangered,3000
1414,Bathari,Oman,OMN,Critically endangered,3000
1415,Brokkat,Bhutan,BTN,Definitely endangered,3000
1416,Duwet,Papua New Guinea,PNG,Vulnerable,3000
1417,Faire Atta,Philippines,PHL,Severely endangered,3000
1418,Green Gelao (China),China,CHN,Critically endangered,3000
1419,Green Gelao (Viet Nam),Viet Nam,VNM,Critically endangered,3000
1420,Guatuso,Costa Rica,CRI,Severely endangered,3000
1421,Gupapuyngu,Australia,AUS,Vulnerable,3000
1422,Istro-Romanian,Croatia,HRV,Severely endangered,3000
1423,Jicarilla Apache,United States of America,USA,Severely endangered,3000
1424,Kandas,Papua New Guinea,PNG,Vulnerable,3000
1425,Kangjia,China,CHN,Severely endangered,3000
1426,Kaxarari,Brazil,BRA,Critically endangered,3000
1427,Kwansu,Indonesia,IDN,Vulnerable,3000
1428,Legenyem,Indonesia,IDN,Vulnerable,3000
1429,Mandaic,Iran (Islamic Republic of);Iraq,IRN;IRQ,Critically endangered,3000
1430,Mangareva,French Polynesia (France),PYF,Severely endangered,3000
1431,Mani,Guinea;Sierra Leone,GIN;SLE,Critically endangered,3000
1432,Maniq,Thailand,THA,Definitely endangered,3000
1433,Mono,Cameroon,CMR,Critically endangered,3000
1434,Northern Paiute (Oregon),United States of America,USA,Critically endangered,3000
1435,Phong,Lao People's Democratic Republic,LAO,Definitely endangered,3000
1436,Shanenawa,Brazil,BRA,Vulnerable,3000
1437,Sissano,Papua New Guinea,PNG,Critically endangered,3000
1438,Skolt Saami,Finland;Norway;Russian Federation,FIN;NOR;RUS,Severely endangered,3000
1439,Tarpia,Indonesia,IDN,Severely endangered,3000
1440,Tause,Indonesia,IDN,Vulnerable,3000
1441,Thaayorre,Australia,AUS,Definitely endangered,3000
1442,Tlingit (United States of America),United States of America,USA,Critically endangered,3000
1443,Tol,Honduras,HND,Critically endangered,3000
1444,Tsakonian,Greece,GRC,Critically endangered,3000
1445,Ute (Utah),United States of America,USA,Severely endangered,3000
1446,Vedda,Sri Lanka,LKA,Definitely endangered,3000
1447,Vera'a,Vanuatu,VUT,Definitely endangered,3000
1448,Warapu,Papua New Guinea,PNG,Severely endangered,3000
1449,Waru,Indonesia,IDN,Definitely endangered,3000
1450,Yawarana,Venezuela (Bolivarian Republic of),VEN,Severely endangered,3000
1451,Yimas,Papua New Guinea,PNG,Severely endangered,3000
1452,Tilapa Otomí,Mexico,MEX,Severely endangered,2920
1453,Paumarí,Brazil,BRA,Severely endangered,2900
1454,Wayana (Brazil),Brazil,BRA,Vulnerable,2880
1455,Achagua,Colombia,COL,Severely endangered,2830
1456,Guajá,Brazil,BRA,Vulnerable,2830
1457,Maniwaki Algonquin,Canada,CAN,Severely endangered,2800
1458,Alabama,United States of America,USA,Definitely endangered,2750
1459,Cocopa (Arizona),United States of America,USA,Severely endangered,2750
1460,Miltu,Chad,TCD,Critically endangered,2720
1461,Arara do Pará,Brazil,BRA,Vulnerable,2710
1462,Kaki Ae,Papua New Guinea,PNG,Vulnerable,2660
1463,Nisga'a,Canada,CAN,Severely endangered,2650
1464,Bosilewa,Papua New Guinea,PNG,Vulnerable,2500
1465,Caquinte Campa,Peru,PER,Definitely endangered,2500
1466,Gwich'in (Canada),Canada,CAN,Severely endangered,2500
1467,Kaibobo,Indonesia,IDN,Definitely endangered,2500
1468,Kaiep,Papua New Guinea,PNG,Vulnerable,2500
1469,Kaiy,Indonesia,IDN,Vulnerable,2500
1470,Laji,China,CHN,Critically endangered,2500
1471,Lehali,Vanuatu,VUT,Vulnerable,2500
1472,Lillooet,Canada,CAN,Severely endangered,2500
1473,Löyöp,Vanuatu,VUT,Vulnerable,2500
1474,Nyangumarta,Australia,AUS,Vulnerable,2500
1475,Pear,Cambodia,KHM,Severely endangered,2500
1476,Ruc,Lao People's Democratic Republic;Viet Nam,LAO;VNM,Definitely endangered,2500
1477,Sause,Indonesia,IDN,Severely endangered,2500
1478,Texistepecan,Mexico,MEX,Severely endangered,2500
1479,Winnebago (Nebraska),United States of America,USA,Severely endangered,2500
1480,Winnebago (Wisconsin),United States of America,USA,Severely endangered,2500
1481,Zapotec of San Bartolo Yautepec,Mexico,MEX,Severely endangered,2460
1482,North Alaskan Inupiaq (Canada),Canada,CAN,Severely endangered,2400
1483,Waiwai (Guyana),Guyana,GUY,Vulnerable,2400
1484,As,Indonesia,IDN,Vulnerable,2300
1485,Siglitun,Canada,CAN,Severely endangered,2300
1486,K'iche' (Mexico),Mexico,MEX,Definitely endangered,2260
1487,Paipai,Mexico,MEX,Severely endangered,2260
1488,Garuwahi,Papua New Guinea,PNG,Definitely endangered,2250
1489,Picuris,United States of America,USA,Vulnerable,2250
1490,Neku,New Caledonia (France),NCL,Severely endangered,2210
1491,Tiri,New Caledonia (France),NCL,Definitely endangered,2210
1492,Danisi,Botswana,BWA,Critically endangered,2200
1493,Emplawas,Indonesia,IDN,Definitely endangered,2200
1494,Musom,Papua New Guinea,PNG,Definitely endangered,2190
1495,Pwaamèi,New Caledonia (France),NCL,Definitely endangered,2190
1496,Karo,Brazil,BRA,Vulnerable,2080
1497,Cocopa (Mexico),Mexico,MEX,Definitely endangered,2060
1498,Korúbo,Brazil,BRA,Vulnerable,2050
1499,Aja,Sudan,SDN,Critically endangered,2000
1500,Antakirinya,Australia,AUS,Definitely endangered,2000
1501,Bana,Lao People's Democratic Republic,LAO,Severely endangered,2000
1502,Baras,Indonesia,IDN,Severely endangered,2000
1503,Batak,Philippines,PHL,Definitely endangered,2000
1504,Birri,Central African Republic,CAF,Critically endangered,2000
1505,Bonggo,Indonesia,IDN,Severely endangered,2000
1506,Central Siberian Yupik (Chukotka),Russian Federation,RUS,Severely endangered,2000
1507,Che Wong,Malaysia,MYS,Definitely endangered,2000
1508,Defaka,Nigeria,NGA,Critically endangered,2000
1509,Doga,Papua New Guinea,PNG,Definitely endangered,2000
1510,Dorig,Vanuatu,VUT,Definitely endangered,2000
1511,Emae,Vanuatu,VUT,Vulnerable,2000
1512,Erokwanas,Indonesia,IDN,Vulnerable,2000
1513,Gowro,Pakistan,PAK,Severely endangered,2000
1514,Hayu,Nepal,NPL,Critically endangered,2000
1515,Hidatsa,United States of America,USA,Definitely endangered,2000
1516,Ingrian,Russian Federation,RUS,Severely endangered,2000
1517,Iwaidja,Australia,AUS,Vulnerable,2000
1518,Kadai,Indonesia,IDN,Definitely endangered,2000
1519,Kao,Indonesia,IDN,Definitely endangered,2000
1520,Karo,Ethiopia,ETH,Critically endangered,2000
1521,Kelo,Sudan,SDN,Critically endangered,2000
1522,Kokota,Solomon Islands,SLB,Vulnerable,2000
1523,Koneraw,Indonesia,IDN,Vulnerable,2000
1524,Koroshi,Iran (Islamic Republic of),IRN,Critically endangered,2000
1525,Magori,Papua New Guinea,PNG,Vulnerable,2000
1526,Maung,Australia,AUS,Vulnerable,2000
1527,Mehináku,Brazil,BRA,Vulnerable,2000
1528,Moghol,Afghanistan,AFG,Critically endangered,2000
1529,Ningalami,Afghanistan,AFG,Severely endangered,2000
1530,Northern Alta,Philippines,PHL,Severely endangered,2000
1531,Numbani,Papua New Guinea,PNG,Vulnerable,2000
1532,Ongamo,Kenya,KEN,Critically endangered,2000
1533,Orejón,Peru,PER,Severely endangered,2000
1534,Pacific Gulf Yupik,United States of America,USA,Severely endangered,2000
1535,Pipil,El Salvador,SLV,Critically endangered,2000
1536,Saisiyat,China,CHN,Severely endangered,2000
1537,Sauk-Fox,United States of America,USA,Critically endangered,2000
1538,Sepa,Papua New Guinea,PNG,Vulnerable,2000
1539,Shark Bay,Vanuatu,VUT,Vulnerable,2000
1540,Southern Chocho,Mexico,MEX,Severely endangered,2000
1541,Töitschu,Italy,ITA,Severely endangered,2000
1542,|Xaise,Botswana,BWA,Critically endangered,2000
1543,Beaver,Canada,CAN,Definitely endangered,1950
1544,Nootka,Canada,CAN,Severely endangered,1850
1545,Tipai (Mexico),Mexico,MEX,Severely endangered,1840
1546,Uru-eu-au-au,Brazil,BRA,Vulnerable,1830
1547,Eastern Chocho,Mexico,MEX,Severely endangered,1810
1548,Bahonsuai,Indonesia,IDN,Definitely endangered,1800
1549,Bedoanas,Indonesia,IDN,Vulnerable,1800
1550,Jarawára,Brazil,BRA,Vulnerable,1800
1551,Keder,Indonesia,IDN,Severely endangered,1800
1552,Straits Salish,Canada;United States of America,CAN;USA,Severely endangered,1800
1553,Zo'é,Brazil,BRA,Vulnerable,1770
1554,Central Ojibwe,Canada,CAN,Definitely endangered,1750
1555,Kuurinji,Australia,AUS,Definitely endangered,1750
1556,Mwatebu,Papua New Guinea,PNG,Definitely endangered,1660
1557,Zazao,Solomon Islands,SLB,Critically endangered,1660
1558,Pije,New Caledonia (France),NCL,Severely endangered,1610
1559,Aweti,Brazil,BRA,Vulnerable,1600
1560,Koro,Vanuatu,VUT,Definitely endangered,1600
1561,Meriam Mir,Australia,AUS,Definitely endangered,1600
1562,Onjab,Papua New Guinea,PNG,Vulnerable,1600
1563,Tsimshian,Canada,CAN,Critically endangered,1600
1564,Chihuahua Lower Pima,Mexico,MEX,Definitely endangered,1590
1565,Kaska,Canada,CAN,Severely endangered,1550
1566,Aikana,Brazil,BRA,Definitely endangered,1500
1567,Aleut (Eastern),United States of America,USA,Critically endangered,1500
1568,Aleut (Western),United States of America,USA,Severely endangered,1500
1569,Amblong,Vanuatu,VUT,Definitely endangered,1500
1570,Arguni,Indonesia,IDN,Vulnerable,1500
1571,Assiniboine (United States of America),United States of America,USA,Critically endangered,1500
1572,Baki,Vanuatu,VUT,Vulnerable,1500
1573,Cacua,Colombia,COL,Severely endangered,1500
1574,Camarines Norte Agta,Philippines,PHL,Severely endangered,1500
1575,Cubeo (Brazil),Brazil,BRA,Definitely endangered,1500
1576,Gwich'in (United States of America),United States of America,USA,Severely endangered,1500
1577,Hiw,Vanuatu,VUT,Definitely endangered,1500
1578,Katxuyana-Xikuyána,Brazil,BRA,Vulnerable,1500
1579,Ket,Russian Federation,RUS,Severely endangered,1500
1580,Koyukon,United States of America,USA,Critically endangered,1500
1581,Malmariv,Vanuatu,VUT,Vulnerable,1500
1582,Mt. Iraya Agta,Philippines,PHL,Definitely endangered,1500
1583,Ocaina (Peru),Peru,PER,Critically endangered,1500
1584,Papapana,Papua New Guinea,PNG,Definitely endangered,1500
1585,Quechan,United States of America,USA,Definitely endangered,1500
1586,Southern Ayta,Philippines,PHL,Critically endangered,1500
1587,Tundra Yukagir,Russian Federation,RUS,Critically endangered,1500
1588,Tupari,Brazil,BRA,Definitely endangered,1500
1589,Wari,Indonesia,IDN,Definitely endangered,1500
1590,Yavapai,United States of America,USA,Severely endangered,1500
1591,Mlabri,Lao People's Democratic Republic;Thailand,LAO;THA,Definitely endangered,1490
1592,Negidal,Russian Federation,RUS,Critically endangered,1470
1593,Suarmin,Papua New Guinea,PNG,Definitely endangered,1450
1594,Kickapoo (Mexico),Mexico,MEX,Critically endangered,1440
1595,Wab,Papua New Guinea,PNG,Vulnerable,1420
1596,Motocintlec,Mexico,MEX,Critically endangered,1410
1597,Dengalu,Papua New Guinea,PNG,Definitely endangered,1400
1598,Dimbong,Cameroon,CMR,Critically endangered,1400
1599,Kunbarlang,Australia,AUS,Severely endangered,1400
1600,Machineri (Bolivia),Bolivia (Plurinational State of),BOL,Severely endangered,1400
1601,Taworta,Indonesia,IDN,Vulnerable,1400
1602,ǂHoa,Botswana,BWA,Critically endangered,1400
1603,Handuri,India,IND,Critically endangered,1380
1604,Suruahá,Brazil,BRA,Vulnerable,1360
1605,Kutenai,Canada;United States of America,CAN;USA,Severely endangered,1350
1606,Nauna,Papua New Guinea,PNG,Vulnerable,1300
1607,Okanagan,Canada;United States of America,CAN;USA,Definitely endangered,1300
1608,Piu,Papua New Guinea,PNG,Definitely endangered,1300
1609,Ocaina (Colombia),Colombia,COL,Severely endangered,1260
1610,Yuki,Bolivia (Plurinational State of),BOL,Severely endangered,1250
1611,Asurini do Xingu,Brazil,BRA,Vulnerable,1240
1612,Nahukwa,Brazil,BRA,Definitely endangered,1240
1613,Aputai,Indonesia,IDN,Critically endangered,1200
1614,Budibud,Papua New Guinea,PNG,Vulnerable,1200
1615,Capanahua,Peru,PER,Severely endangered,1200
1616,Dâw,Brazil,BRA,Vulnerable,1200
1617,Ili Turk,China,CHN,Severely endangered,1200
1618,Lamu,China,CHN,Critically endangered,1200
1619,Obokuitai,Indonesia,IDN,Vulnerable,1200
1620,Polonomombauk,Vanuatu,VUT,Definitely endangered,1200
1621,Samre,Cambodia,KHM,Critically endangered,1200
1622,Tutuba,Vanuatu,VUT,Definitely endangered,1200
1623,Northern Tutchone,Canada,CAN,Definitely endangered,1150
1624,Dubu,Indonesia,IDN,Vulnerable,1100
1625,Haisla,Canada,CAN,Critically endangered,1100
1626,Heiltsuk,Canada,CAN,Critically endangered,1050
1627,Kwegu,Ethiopia,ETH,Critically endangered,1030
1628,Adnyamathanha,Australia,AUS,Definitely endangered,1000
1629,Ainbai,Papua New Guinea,PNG,Severely endangered,1000
1630,Arem,Lao People's Democratic Republic;Viet Nam,LAO;VNM,Severely endangered,1000
1631,Banawá Yafi,Brazil,BRA,Vulnerable,1000
1632,Bara (Colombia),Colombia,COL,Critically endangered,1000
1633,Bikaru,Papua New Guinea,PNG,Severely endangered,1000
1634,Boor,Chad,TCD,Critically endangered,1000
1635,Burate,Indonesia,IDN,Severely endangered,1000
1636,Callahuaya,Bolivia (Plurinational State of),BOL,Critically endangered,1000
1637,Comanche,United States of America,USA,Severely endangered,1000
1638,Djinang,Australia,AUS,Definitely endangered,1000
1639,Dulbu,Nigeria,NGA,Critically endangered,1000
1640,Ghomara,Morocco,MAR,Critically endangered,1000
1641,Itelmen,Russian Federation,RUS,Critically endangered,1000
1642,Jebero,Peru,PER,Critically endangered,1000
1643,Jilbe,Nigeria,NGA,Critically endangered,1000
1644,Kalamo,Papua New Guinea,PNG,Severely endangered,1000
1645,Kanowit,Malaysia,MYS,Severely endangered,1000
1646,Karas,Indonesia,IDN,Severely endangered,1000
1647,Kiong,Nigeria,NGA,Critically endangered,1000
1648,Kofei,Indonesia,IDN,Severely endangered,1000
1649,Likum,Papua New Guinea,PNG,Definitely endangered,1000
1650,Maricopa,United States of America,USA,Severely endangered,1000
1651,Mohave (Arizona),United States of America,USA,Severely endangered,1000
1652,Mohave (California),United States of America,USA,Severely endangered,1000
1653,Molo,Sudan,SDN,Critically endangered,1000
1654,Mvanip,Nigeria,NGA,Critically endangered,1000
1655,Nafi,Papua New Guinea,PNG,Severely endangered,1000
1656,Ninam (Venezuela),Venezuela (Bolivarian Republic of),VEN,Vulnerable,1000
1657,Omagua (Peru),Peru,PER,Critically endangered,1000
1658,Oroch,Russian Federation,RUS,Critically endangered,1000
1659,Oroha,Solomon Islands,SLB,Severely endangered,1000
1660,Pauwi,Indonesia,IDN,Vulnerable,1000
1661,Piame,Papua New Guinea,PNG,Severely endangered,1000
1662,Pyu,Indonesia,IDN,Severely endangered,1000
1663,Ruga,India,IND,Critically endangered,1000
1664,Sahaptin,United States of America,USA,Severely endangered,1000
1665,Samatao,China,CHN,Critically endangered,1000
1666,Seneca (United States of America),United States of America,USA,Severely endangered,1000
1667,Senggi,Indonesia,IDN,Vulnerable,1000
1668,Shawnee,United States of America,USA,Severely endangered,1000
1669,Shiwiar,Ecuador,ECU,Severely endangered,1000
1670,Shompen,India,IND,Critically endangered,1000
1671,Soo,Uganda,UGA,Critically endangered,1000
1672,Tangam,India,IND,Critically endangered,1000
1673,Tariana (Brazil),Brazil,BRA,Critically endangered,1000
1674,Tirahi,Afghanistan,AFG,Critically endangered,1000
1675,Ute (Colorado;Southern Ute),United States of America,USA,Severely endangered,1000
1676,Vehes,Papua New Guinea,PNG,Severely endangered,1000
1677,Wik Ngathan,Australia,AUS,Definitely endangered,1000
1678,Xokleng,Brazil,BRA,Critically endangered,1000
1679,Yangkam,Nigeria,NGA,Critically endangered,1000
1680,Yarawata,Papua New Guinea,PNG,Severely endangered,980
1681,O'odham (Mexico),Mexico,MEX,Definitely endangered,940
1682,Samosa,Papua New Guinea,PNG,Severely endangered,940
1683,Mindiri,Papua New Guinea,PNG,Severely endangered,930
1684,Usu,Papua New Guinea,PNG,Severely endangered,930
1685,Iteri,Papua New Guinea,PNG,Severely endangered,900
1686,Ngarinyin,Australia,AUS,Definitely endangered,900
1687,Repanbitip,Vanuatu,VUT,Definitely endangered,900
1688,Tofanma,Indonesia,IDN,Vulnerable,900
1689,Taiap,Papua New Guinea,PNG,Severely endangered,890
1690,Kusunda,Nepal,NPL,Critically endangered,870
1691,Patamona (Brazil),Brazil,BRA,Vulnerable,870
1692,Xiri,South Africa,ZAF,Critically endangered,870
1693,Narau,Indonesia,IDN,Severely endangered,850
1694,Ak,Papua New Guinea,PNG,Severely endangered,830
1695,Araona,Bolivia (Plurinational State of),BOL,Severely endangered,810
1696,Ari,Papua New Guinea,PNG,Severely endangered,800
1697,Assiniboine (Canada),Canada,CAN,Critically endangered,800
1698,Dorro,Papua New Guinea,PNG,Severely endangered,800
1699,Gong,Thailand,THA,Severely endangered,800
1700,Itik,Indonesia,IDN,Vulnerable,800
1701,Mari,Papua New Guinea,PNG,Severely endangered,800
1702,Pwapwa,New Caledonia (France),NCL,Severely endangered,800
1703,Somm,Papua New Guinea,PNG,Definitely endangered,800
1704,Tobati,Indonesia,IDN,Severely endangered,800
1705,Moré,Bolivia (Plurinational State of),BOL,Critically endangered,760
1706,Mores,Vanuatu,VUT,Severely endangered,750
1707,Musan,Papua New Guinea,PNG,Severely endangered,750
1708,Papi,Papua New Guinea,PNG,Severely endangered,750
1709,Sarcee,Canada,CAN,Critically endangered,750
1710,Sekani,Canada,CAN,Critically endangered,750
1711,Arawun,Papua New Guinea,PNG,Severely endangered,730
1712,Siriano (Brazil),Brazil,BRA,Vulnerable,710
1713,Teko,Mexico,MEX,Severely endangered,710
1714,Anus,Indonesia,IDN,Severely endangered,700
1715,Awera,Indonesia,IDN,Vulnerable,700
1716,Doutai,Indonesia,IDN,Severely endangered,700
1717,East Cape Yupik,Russian Federation,RUS,Critically endangered,700
1718,Iresim,Indonesia,IDN,Severely endangered,700
1719,Mafea,Vanuatu,VUT,Definitely endangered,700
1720,Vilamovian,Poland,POL,Severely endangered,700
1721,Yankunytjatjara,Australia,AUS,Definitely endangered,700
1722,Yanyuwa,Australia,AUS,Severely endangered,700
1723,Yapunda,Papua New Guinea,PNG,Severely endangered,690
1724,Bothar,Papua New Guinea,PNG,Severely endangered,680
1725,Kari'ña (Brazil),Brazil,BRA,Definitely endangered,660
1726,Ritharrngu,Australia,AUS,Definitely endangered,660
1727,Northern Straits Salish,United States of America,USA,Critically endangered,650
1728,Sumariup,Papua New Guinea,PNG,Severely endangered,650
1729,Orok,Russian Federation,RUS,Critically endangered,640
1730,Carapana (Brazil),Brazil,BRA,Severely endangered,630
1731,Yan-nhangu,Australia,AUS,Definitely endangered,610
1732,Atemble,Papua New Guinea,PNG,Definitely endangered,600
1733,Bagupi,Papua New Guinea,PNG,Definitely endangered,600
1734,Carapana (Colombia),Colombia,COL,Definitely endangered,600
1735,Gooniyandi,Australia,AUS,Severely endangered,600
1736,Gurrgoni,Australia,AUS,Vulnerable,600
1737,Kija,Australia,AUS,Severely endangered,600
1738,Montana Salish,United States of America,USA,Critically endangered,600
1739,Ngangikurunggurr,Australia,AUS,Severely endangered,600
1740,Senaya,Iran (Islamic Republic of),IRN,Critically endangered,600
1741,Tahltan,Canada,CAN,Critically endangered,600
1742,Tembé,Brazil,BRA,Severely endangered,600
1743,Mosimo,Papua New Guinea,PNG,Severely endangered,580
1744,Tapayuna,Brazil,BRA,Severely endangered,580
1745,Bepour,Papua New Guinea,PNG,Severely endangered,570
1746,Faita,Papua New Guinea,PNG,Severely endangered,570
1747,Teribe (Costa Rica),Costa Rica,CRI,Critically endangered,570
1748,Kiliwa,Mexico,MEX,Critically endangered,560
1749,Moere,Papua New Guinea,PNG,Severely endangered,560
1750,Baure,Bolivia (Plurinational State of),BOL,Critically endangered,550
1751,Southern Haida,Canada,CAN,Critically endangered,550
1752,Tlingit (Canada),Canada,CAN,Critically endangered,550
1753,Upper Tanana (United States of America),United States of America,USA,Critically endangered,550
1754,Zapotec of Asunción Tlacolulita,Mexico,MEX,Critically endangered,530
1755,Trumai,Brazil,BRA,Critically endangered,510
1756,Arabela,Peru,PER,Severely endangered,500
1757,Arha,New Caledonia (France),NCL,Critically endangered,500
1758,Banjima,Australia,AUS,Severely endangered,500
1759,Bella Coola,Canada,CAN,Critically endangered,500
1760,Budong-Budong,Indonesia,IDN,Critically endangered,500
1761,Bulgebi,Papua New Guinea,PNG,Definitely endangered,500
1762,Chiquitano (Brazil),Brazil,BRA,Critically endangered,500
1763,Forest Yukagir,Russian Federation,RUS,Critically endangered,500
1764,Gorovu,Papua New Guinea,PNG,Severely endangered,500
1765,Karaim (Lithuania),Lithuania,LTU,Severely endangered,500
1766,Kasong,Cambodia;Thailand,KHM;THA,Critically endangered,500
1767,Kayupulau,Indonesia,IDN,Critically endangered,500
1768,Lolak,Indonesia,IDN,Critically endangered,500
1769,Maku'a,Timor-Leste,TLS,Critically endangered,500
1770,Makurap,Brazil,BRA,Severely endangered,500
1771,Miriwoong,Australia,AUS,Critically endangered,500
1772,Moraori,Indonesia,IDN,Severely endangered,500
1773,Nakkara,Australia,AUS,Severely endangered,500
1774,Ngarinman,Australia,AUS,Severely endangered,500
1775,Norfolk-Pitcairn (Pitcairn),Pitcairn  (U.K.),PCN,Vulnerable,500
1776,Omaha-Ponca,United States of America,USA,Critically endangered,500
1777,Omotik,Kenya,KEN,Critically endangered,500
1778,Onge,India,IND,Critically endangered,500
1779,Patua,China,CHN,Critically endangered,500
1780,Paulohi,Indonesia,IDN,Critically endangered,500
1781,Potawatomi (Kansas),United States of America,USA,Critically endangered,500
1782,Potawatomi (Michigan),United States of America,USA,Critically endangered,500
1783,Potawatomi (Oklahoma),United States of America,USA,Critically endangered,500
1784,Potawatomi (Wisconsin),United States of America,USA,Critically endangered,500
1785,Salas,Indonesia,IDN,Severely endangered,500
1786,Samray,Cambodia;Thailand,KHM;THA,Critically endangered,500
1787,Sapé,Venezuela (Bolivarian Republic of),VEN,Critically endangered,500
1788,Sentilese,India,IND,Critically endangered,500
1789,Sian,Malaysia,MYS,Severely endangered,500
1790,Tambotalo,Vanuatu,VUT,Severely endangered,500
1791,Tanacross,United States of America,USA,Critically endangered,500
1792,Tanaina,United States of America,USA,Severely endangered,500
1793,Tanimbili,Solomon Islands,SLB,Severely endangered,500
1794,Warumungu,Australia,AUS,Severely endangered,500
1795,Zapotec of San Felipe Tejalapan,Mexico,MEX,Critically endangered,500
1796,Tench,Papua New Guinea,PNG,Critically endangered,490
1797,Mudburra,Australia,AUS,Severely endangered,480
1798,Nunggubuyu,Australia,AUS,Severely endangered,440
1799,Dumun,Papua New Guinea,PNG,Critically endangered,420
1800,Kudu-Camo,Nigeria,NGA,Critically endangered,420
1801,Asumboa,Solomon Islands,SLB,Severely endangered,400
1802,Bunuba,Australia,AUS,Severely endangered,400
1803,Chamacoco,Brazil;Paraguay,BRA;PRY,Critically endangered,400
1804,Garrwa,Australia,AUS,Severely endangered,400
1805,Gumbaynggirr,Australia,AUS,Critically endangered,400
1806,Maremgi,Indonesia,IDN,Definitely endangered,400
1807,Mono (Western),United States of America,USA,Critically endangered,400
1808,Southern Tutchone,Canada,CAN,Critically endangered,400
1809,Tipai (United States of America),United States of America,USA,Severely endangered,400
1810,Tofa,Russian Federation,RUS,Critically endangered,400
1811,Udege,Russian Federation,RUS,Critically endangered,400
1812,Yoki,Indonesia,IDN,Severely endangered,400
1813,Noy,Chad,TCD,Critically endangered,360
1814,Chulym Turk,Russian Federation,RUS,Critically endangered,350
1815,Kapori,Indonesia,IDN,Critically endangered,350
1816,Menominee,United States of America,USA,Critically endangered,350
1817,Quechua of Pacaraos,Peru,PER,Critically endangered,350
1818,Turaka,Papua New Guinea,PNG,Critically endangered,350
